,Statement,Link,Date
0,"DOH logs 1,920 new COVID-19 cases, highest daily total in 6 months",https://www.gmanetwork.com/news/topstories/nation/869256/doh-logs-1-920-new-covid-19-cases-highest-daily-total-in-6-months/story/,"May 07, 2023"
1,"DOH logs 9 new COVID-19 deaths; 1,878 fresh cases in past week",https://www.gmanetwork.com/news/topstories/nation/869221/doh-logs-9-new-covid-19-deaths-1-878-fresh-cases-in-past-week/story/,"May 07, 2023"
2,Bettor wins P55.3 million jackpot in Grand Lotto 6/55,https://www.gmanetwork.com/news/topstories/nation/869211/bettor-wins-p55-3-million-jackpot-in-grand-lotto-6-55/story/,"May 07, 2023"
3,Filipinos watch as King Charles III of Britain is crowned,https://www.gmanetwork.com/news/topstories/nation/869193/filipinos-watch-as-king-charles-iii-of-britain-is-crowned/story/,"May 06, 2023"
4,"Marcos will not abolish NTF-ELCAC, says NSC",https://www.gmanetwork.com/news/topstories/nation/869171/marcos-will-not-abolish-ntf-elcac-says-nsc/story/,"May 06, 2023"
5,House panel OKs measures on jabs vs. some diseases for elderly,https://www.gmanetwork.com/news/topstories/nation/869161/house-panel-oks-measures-on-jabs-vs-some-diseases-for-elderly/story/,"May 06, 2023"
6,OCTA after WHO declaration of end to COVID global health emergency: Continue advisories,https://www.gmanetwork.com/news/topstories/nation/869150/octa-after-who-declaration-of-end-to-covid-global-health-emergency-continue-advisories/story/,"May 06, 2023"
7,Marcos welcomed by King Charles III's representatives in UK,https://www.gmanetwork.com/news/topstories/nation/869142/marcos-welcomed-by-king-charles-iii-s-representatives-in-uk/story/,"May 06, 2023"
8,DOH to convene COVID-19 task force in reaction to WHO declaration,https://www.gmanetwork.com/news/topstories/nation/869133/doh-to-convene-covid-19-task-force-in-reaction-to-who-declaration/story/,"May 05, 2023"
9,"PH logs 1,563 new COVID-19 cases; active infections at 9,159",https://www.gmanetwork.com/news/topstories/nation/869114/ph-logs-1-563-new-covid-19-cases-active-infections-at-9-159/story/,"May 05, 2023"
10,Raffy Tulfo seeks probe on ‘anti-poor’ process of obtaining a driver's license,https://www.gmanetwork.com/news/topstories/nation/869103/raffy-tulfo-seeks-probe-on-anti-poor-process-of-obtaining-a-driver-s-license/story/,"May 05, 2023"
11,"MIF, 10 other bills added to LEDAC —Speaker Romualdez",https://www.gmanetwork.com/news/topstories/nation/869259/mif-10-other-bills-added-to-ledac-speaker-romualdez/story/,"May 07, 2023"
12,Palace announces new appointments to government positions,https://www.gmanetwork.com/news/topstories/nation/869219/palace-announces-new-appointments-to-government-positions/story/,"May 07, 2023"
13,76% of Filipinos believe PH headed in right direction under Marcos admin — OCTA,https://www.gmanetwork.com/news/topstories/nation/869196/76-of-filipinos-believe-ph-headed-in-right-direction-under-marcos-admin-octa/story/,"May 06, 2023"
14,"National ID must be reliable, trustworthy –Pimentel",https://www.gmanetwork.com/news/topstories/nation/869180/national-id-must-be-reliable-trustworthy-pimentel/story/,"May 06, 2023"
15,"Sandiganbayan affirms ruling, denies Marcos family bid to retake seized properties",https://www.gmanetwork.com/news/topstories/nation/869121/sandiganbayan-affirms-decision-denies-marcos-family-bid-to-retake-seized-ill-gotten-properties/story/,"May 06, 2023"
16,Marcoses meet King Charles at Buckingham Palace,https://www.gmanetwork.com/news/topstories/nation/869156/marcoses-meet-king-charles-at-buckingham-palace/story/,"May 06, 2023"
17,"Scheduled airspace shutdown on May 17 reduced to 2 hours, says CAAP",https://www.gmanetwork.com/news/topstories/nation/869143/scheduled-airspace-shutdown-down-on-may-17-reduced-to-2-hours-says-caap/story/,"May 06, 2023"
18,PNP aims for 3-minute response time to crime in crowded areas,https://www.gmanetwork.com/news/topstories/nation/869135/pnp-aims-for-3-minute-response-time-to-crime-in-crowded-areas/story/,"May 05, 2023"
19,Senior high school grads land in jobs with minimum wage –manpower agency,https://www.gmanetwork.com/news/topstories/nation/869128/senior-high-school-grads-land-in-jobs-with-minimum-wage-manpower-agency/story/,"May 05, 2023"
20,Senate bill wants 1:1 student-textbook ratio achieved via digitization,https://www.gmanetwork.com/news/topstories/nation/869105/senate-bill-wants-1-1-student-textbook-ratio-achieved-via-digitization/story/,"May 05, 2023"
21,ACT Teachers: Workers' freedom of association under threat due to NTF-ELCAC,https://www.gmanetwork.com/news/topstories/nation/869096/act-teachers-workers-freedom-of-association-under-threat-due-to-ntf-elcac/story/,"May 05, 2023"
22,"Malacañang, DOE asked: Where’s the promise of stable power supply in 2023?",https://www.gmanetwork.com/news/topstories/nation/869098/malacanang-doe-asked-where-s-the-promise-of-stable-power-supply-in-2023/story/,"May 05, 2023"
23,"Over 4,000 motorcycle road crashes recorded from January to April, PNP-HPG says",https://www.gmanetwork.com/news/topstories/nation/869085/over-4-000-motorcycle-road-crashes-recorded-from-january-to-april-pnp-hpg-says/story/,"May 05, 2023"
24,"Proposed automated election system for 2025 allows quick verification of ballots, ERs — Garcia",https://www.gmanetwork.com/news/topstories/nation/869081/no-more-transparency-server-in-proposed-2025-fully-automated-election-system-garcia/story/,"May 05, 2023"
25,"Teves, sons file motion to dismiss illegal possession of firearms raps",https://www.gmanetwork.com/news/topstories/nation/869082/teves-sons-file-motion-to-dismiss-illegal-possession-raps/story/,"May 05, 2023"
26,"Marcos hopes to work with US in creating virology, vaccine institute",https://www.gmanetwork.com/news/topstories/nation/869068/marcos-hopes-to-work-with-us-in-creating-virology-vaccine-institute/story/,"May 05, 2023"
27,Marcos: Bilateral defense guidelines with US ‘responsive’ to present challenges,https://www.gmanetwork.com/news/topstories/nation/869059/marcos-bilateral-defense-guidelines-with-us-responsive-to-present-challenges/story/,"May 05, 2023"
28,Marcos on China’s 'meddling' remark: I think it’s for US,https://www.gmanetwork.com/news/topstories/nation/869051/marcos-on-china-s-meddling-remark-i-think-it-s-for-us/story/,"May 05, 2023"
29,Marcos: No request from US for Pinoy troops if Taiwan tension rises,https://www.gmanetwork.com/news/topstories/nation/869046/marcos-no-request-from-us-for-pinoy-troops-if-taiwan-tension-rises/story/,"May 05, 2023"
30,"Cope Thunder interoperability exercises between PAF, USAF underway",https://www.gmanetwork.com/news/topstories/nation/869028/cope-thunder-interoperability-exercises-between-paf-usaf-underway/story/,"May 05, 2023"
